appName,baseImageVersion,buildConfigurationMode,configMaps,configMaps_enabled,country,cpuLimits,cpuRequest,env,memoryLimits,memoryRequest,ocpLabel,project,project_name,replicas,repositoryUrl,secrets,secrets_enabled,source_file,token,tokenOcp,type,volumes,volumes_enabled
ArgNewApp,1.0,Release,mapArgNewApp,True,Argentina,500m,250m,dev,512Mi,256Mi,labelArgNewApp,argnewapp,ArgNewApp Project,2,https://github.com/empresa/argnewapp,secretArgNewApp,True,Argentina-MICROSERVICES.json,token-argnewappdev-111,ocTokenArgNewAppdev,argentina,/dataArgNewApp,True
ArgNewApp,1.0,Release,mapArgNewApp,True,Argentina,600m,300m,qa,1Gi,512Mi,labelArgNewApp,argnewapp,ArgNewApp Project,3,https://github.com/empresa/argnewapp,secretArgNewApp,True,Argentina-MICROSERVICES.json,token-argnewappuat-222,ocTokenArgNewAppuat,argentina,/dataArgNewApp,True
ArgNewApp,1.0,Release,mapArgNewApp,True,Argentina,700m,350m,master,2Gi,1Gi,labelArgNewApp,argnewapp,ArgNewApp Project,4,https://github.com/empresa/argnewapp,secretArgNewApp,True,Argentina-MICROSERVICES.json,token-argnewappprd-333,ocTokenArgNewAppprd,argentina,/dataArgNewApp,True
Melilamc,1.0,Release,mapMelilamc,True,Argentina,800m,400m,dev,2Gi,1Gi,labelMelilamc,melilamc,Melilamc Project,5,https://github.com/empresa/melilamc,secretMelilamc,True,Argentina-MICROSERVICES.json,token-melilamcdev-123,ocTokenMelilamcdev,argentina,/dataMelilamc,True
Melilamc,1.0,Release,mapMelilamc,True,Argentina,800m,400m,qa,2Gi,1Gi,labelMelilamc,melilamc,Melilamc Project,5,https://github.com/empresa/melilamc,secretMelilamc,True,Argentina-MICROSERVICES.json,token-melilamcuat-456,ocTokenMelilamcuat,argentina,/dataMelilamc,True
Melilamc,1.0,Release,mapMelilamc,True,Argentina,800m,400m,master,2Gi,1Gi,labelMelilamc,melilamc,Melilamc Project,5,https://github.com/empresa/melilamc,secretMelilamc,True,Argentina-MICROSERVICES.json,token-melilamcprd-789,ocTokenMelilamcprd,argentina,/dataMelilamc,True
InventarioChl,1.0,Release,mapInventarioChl,True,Chile,500m,250m,dev,512Mi,256Mi,labelInventarioChl,inventariochl,InventarioChl Project,2,https://github.com/empresa/inventariochl,secretInventarioChl,True,Chile-MICROSERVICES.json,token-inventariochldev-lll,ocTokenInventarioChlDev,chile,/dataInventarioChl,True
InventarioChl,1.0,Release,mapInventarioChl,True,Chile,600m,300m,qa,1Gi,512Mi,labelInventarioChl,inventariochl,InventarioChl Project,3,https://github.com/empresa/inventariochl,secretInventarioChl,True,Chile-MICROSERVICES.json,token-inventariochluat-mmm,ocTokenInventarioChlUat,chile,/dataInventarioChl,True
InventarioChl,1.0,Release,mapInventarioChl,True,Chile,700m,350m,master,2Gi,1Gi,labelInventarioChl,inventariochl,InventarioChl Project,4,https://github.com/empresa/inventariochl,secretInventarioChl,True,Chile-MICROSERVICES.json,token-inventariochlprd-nnn,ocTokenInventarioChlPrd,chile,/dataInventarioChl,True
ChlNewApp,1.0,Release,mapChlNewApp,True,Chile,800m,400m,dev,2Gi,1Gi,labelChlNewApp,chlnewapp,ChlNewApp Project,5,https://github.com/empresa/chilenewapp,secretChlNewApp,True,Chile-MICROSERVICES.json,token-chlnewappdev-444,ocTokenChlNewAppdev,chile,/dataChlNewApp,True
ChlNewApp,1.0,Release,mapChlNewApp,True,Chile,800m,400m,qa,2Gi,1Gi,labelChlNewApp,chlnewapp,ChlNewApp Project,5,https://github.com/empresa/chilenewapp,secretChlNewApp,True,Chile-MICROSERVICES.json,token-chlnewappuat-555,ocTokenChlNewAppuat,chile,/dataChlNewApp,True
ChlNewApp,1.0,Release,mapChlNewApp,True,Chile,800m,400m,master,2Gi,1Gi,labelChlNewApp,chlnewapp,ChlNewApp Project,5,https://github.com/empresa/chilenewapp,secretChlNewApp,True,Chile-MICROSERVICES.json,token-chlnewappprd-666,ocTokenChlNewAppprd,chile,/dataChlNewApp,True
WebviewCol,1.0,Release,mapWebviewCol,True,Colombia,500m,250m,dev,512Mi,256Mi,labelWebviewCol,webviewcol,WebviewCol Project,2,https://github.com/empresa/webviewcol,secretWebviewCol,True,Colombia-MICROSERVICES.json,token-webviewcoldev-aaa,ocTokenWebviewColdev,colombia,/dataWebviewCol,True
WebviewCol,1.0,Release,mapWebviewCol,True,Colombia,600m,300m,qa,1Gi,512Mi,labelWebviewCol,webviewcol,WebviewCol Project,3,https://github.com/empresa/webviewcol,secretWebviewCol,True,Colombia-MICROSERVICES.json,token-webviewcoluat-bbb,ocTokenWebviewColuat,colombia,/dataWebviewCol,True
WebviewCol,1.0,Release,mapWebviewCol,True,Colombia,700m,350m,master,2Gi,1Gi,labelWebviewCol,webviewcol,WebviewCol Project,4,https://github.com/empresa/webviewcol,secretWebviewCol,True,Colombia-MICROSERVICES.json,token-webviewcolprd-ccc,ocTokenWebviewColprd,colombia,/dataWebviewCol,True
ColNewApp,1.0,Release,mapColNewApp,True,Colombia,800m,400m,dev,2Gi,1Gi,labelColNewApp,colombianewapp,ColNewApp Project,5,https://github.com/empresa/colombianewapp,secretColNewApp,True,Colombia-MICROSERVICES.json,token-colnewappdev-abc,ocTokenColNewAppdev,colombia,/dataColNewApp,True
ColNewApp,1.0,Release,mapColNewApp,True,Colombia,800m,400m,qa,2Gi,1Gi,labelColNewApp,colombianewapp,ColNewApp Project,5,https://github.com/empresa/colombianewapp,secretColNewApp,True,Colombia-MICROSERVICES.json,token-colnewappuat-def,ocTokenColNewAppuat,colombia,/dataColNewApp,True
ColNewApp,1.0,Release,mapColNewApp,True,Colombia,800m,400m,master,2Gi,1Gi,labelColNewApp,colombianewapp,ColNewApp Project,5,https://github.com/empresa/colombianewapp,secretColNewApp,True,Colombia-MICROSERVICES.json,token-colnewappprd-ghi,ocTokenColNewAppprd,colombia,/dataColNewApp,True
CAnalyzerper,1.0,Release,mapCAnalyzerper,True,Peru,500m,250m,dev,512Mi,256Mi,labelCAnalyzerper,canalyzerper,CAnalyzerper Project,2,https://github.com/empresa/canalyzerper,secretCAnalyzerper,True,Peru-MICROSERVICES.json,token-canalyzerpercddev-111,ocTokenCAnalyzerpercdev,peru,/dataCAnalyzerper,True
CAnalyzerper,1.0,Release,mapCAnalyzerper,True,Peru,600m,300m,qa,1Gi,512Mi,labelCAnalyzerper,canalyzerper,CAnalyzerper Project,3,https://github.com/empresa/canalyzerper,secretCAnalyzerper,True,Peru-MICROSERVICES.json,token-canalyzerpercuat-222,ocTokenCAnalyzerpercuat,peru,/dataCAnalyzerper,True
CAnalyzerper,1.0,Release,mapCAnalyzerper,True,Peru,700m,350m,master,2Gi,1Gi,labelCAnalyzerper,canalyzerper,CAnalyzerper Project,4,https://github.com/empresa/canalyzerper,secretCAnalyzerper,True,Peru-MICROSERVICES.json,token-canalyzerperprd-333,ocTokenCAnalyzerpercprd,peru,/dataCAnalyzerper,True
PerNewApp,1.0,Release,mapPerNewApp,True,Peru,800m,400m,dev,2Gi,1Gi,labelPerNewApp,perunewapp,PerNewApp Project,5,https://github.com/empresa/perunewapp,secretPerNewApp,True,Peru-MICROSERVICES.json,token-pernewappdev-777,ocTokenPerNewAppdev,peru,/dataPerNewApp,True
PerNewApp,1.0,Release,mapPerNewApp,True,Peru,800m,400m,qa,2Gi,1Gi,labelPerNewApp,perunewapp,PerNewApp Project,5,https://github.com/empresa/perunewapp,secretPerNewApp,True,Peru-MICROSERVICES.json,token-pernewappuat-888,ocTokenPerNewAppuat,peru,/dataPerNewApp,True
PerNewApp,1.0,Release,mapPerNewApp,True,Peru,800m,400m,master,2Gi,1Gi,labelPerNewApp,perunewapp,PerNewApp Project,5,https://github.com/empresa/perunewapp,secretPerNewApp,True,Peru-MICROSERVICES.json,token-pernewappprd-999,ocTokenPerNewAppprd,peru,/dataPerNewApp,True
